datetime,symbol,price_type,price,volume
2026-01-01 22:04:01.135000+00:00,EURUSD,BID,1.17387,0.9
2026-01-01 22:04:37.436000+00:00,EURUSD,BID,1.17414,4.5
2026-01-01 22:05:00.073000+00:00,EURUSD,BID,1.17414,0.72
2026-01-01 22:05:00.283000+00:00,EURUSD,BID,1.17449,0.9
2026-01-01 22:05:01.142000+00:00,EURUSD,BID,1.17449,0.9
2026-01-01 22:05:30.769000+00:00,EURUSD,BID,1.17448,0.9
2026-01-01 22:06:14.272000+00:00,EURUSD,BID,1.17449,1.62
2026-01-01 22:06:21.459000+00:00,EURUSD,BID,1.17454,0.9
2026-01-01 22:07:14.353000+00:00,EURUSD,BID,1.17455,0.9
2026-01-01 22:07:58.427000+00:00,EURUSD,BID,1.17449,0.9
2026-01-01 22:08:35.225000+00:00,EURUSD,BID,1.17449,0.9
2026-01-01 22:08:47.068000+00:00,EURUSD,BID,1.17449,2.52
2026-01-01 22:08:48.490000+00:00,EURUSD,BID,1.17449,4.32
2026-01-01 22:08:48.642000+00:00,EURUSD,BID,1.17454,0.9
2026-01-01 22:09:18.844000+00:00,EURUSD,BID,1.17455,0.9
2026-01-01 22:09:20.003000+00:00,EURUSD,BID,1.17454,0.9
2026-01-01 22:09:47.022000+00:00,EURUSD,BID,1.17455,0.9
2026-01-01 22:09:48.780000+00:00,EURUSD,BID,1.17449,0.72
2026-01-01 22:09:58.985000+00:00,EURUSD,BID,1.17448,0.72
2026-01-01 22:10:04.421000+00:00,EURUSD,BID,1.17448,0.72
2026-01-01 22:10:10.096000+00:00,EURUSD,BID,1.17449,0.72
2026-01-01 22:10:15.726000+00:00,EURUSD,BID,1.17479,0.9
2026-01-01 22:10:15.828000+00:00,EURUSD,BID,1.17478,0.9
2026-01-01 22:10:15.983000+00:00,EURUSD,BID,1.17479,0.9
2026-01-01 22:10:31.468000+00:00,EURUSD,BID,1.17477,1.8
2026-01-01 22:10:46.029000+00:00,EURUSD,BID,1.17477,1.8
2026-01-01 22:11:02.773000+00:00,EURUSD,BID,1.17478,0.9
2026-01-01 22:11:02.877000+00:00,EURUSD,BID,1.17476,5.4
2026-01-01 22:11:12.785000+00:00,EURUSD,BID,1.17475,0.9
2026-01-01 22:11:18.468000+00:00,EURUSD,BID,1.17475,0.9
2026-01-01 22:11:19.975000+00:00,EURUSD,BID,1.17475,0.9
2026-01-01 22:11:26.316000+00:00,EURUSD,BID,1.17476,0.9
2026-01-01 22:11:56.902000+00:00,EURUSD,BID,1.17476,0.9
2026-01-01 22:12:12.284000+00:00,EURUSD,BID,1.17475,0.9
2026-01-01 22:12:17.613000+00:00,EURUSD,BID,1.17474,0.9
2026-01-01 22:12:41.586000+00:00,EURUSD,BID,1.17475,0.9
2026-01-01 22:12:46.912000+00:00,EURUSD,BID,1.17472,2.7
2026-01-01 22:12:48.070000+00:00,EURUSD,BID,1.17475,0.9
2026-01-01 22:13:16.058000+00:00,EURUSD,BID,1.17473,1.8
2026-01-01 22:13:17.885000+00:00,EURUSD,BID,1.17474,5.4
2026-01-01 22:13:31.032000+00:00,EURUSD,BID,1.17473,5.4
2026-01-01 22:13:39.577000+00:00,EURUSD,BID,1.17475,0.9
2026-01-01 22:13:39.681000+00:00,EURUSD,BID,1.17478,0.9
2026-01-01 22:13:39.733000+00:00,EURUSD,BID,1.17479,0.9
2026-01-01 22:13:39.991000+00:00,EURUSD,BID,1.17478,4.5
2026-01-01 22:13:40.096000+00:00,EURUSD,BID,1.17481,0.9
2026-01-01 22:13:40.148000+00:00,EURUSD,BID,1.17478,5.4
2026-01-01 22:13:40.305000+00:00,EURUSD,BID,1.17481,0.9
2026-01-01 22:13:40.513000+00:00,EURUSD,BID,1.17479,5.4
2026-01-01 22:13:40.566000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:13:40.721000+00:00,EURUSD,BID,1.17479,5.4
2026-01-01 22:13:40.825000+00:00,EURUSD,BID,1.17479,0.9
2026-01-01 22:13:40.878000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:13:41.239000+00:00,EURUSD,BID,1.17479,5.4
2026-01-01 22:13:41.343000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:13:41.499000+00:00,EURUSD,BID,1.1748,0.9
2026-01-01 22:13:41.603000+00:00,EURUSD,BID,1.17481,0.9
2026-01-01 22:13:41.863000+00:00,EURUSD,BID,1.17479,1.8
2026-01-01 22:13:41.916000+00:00,EURUSD,BID,1.17481,0.9
2026-01-01 22:13:41.968000+00:00,EURUSD,BID,1.17479,1.8
2026-01-01 22:13:42.176000+00:00,EURUSD,BID,1.1748,0.9
2026-01-01 22:13:42.331000+00:00,EURUSD,BID,1.17479,2.7
2026-01-01 22:13:42.435000+00:00,EURUSD,BID,1.1748,0.9
2026-01-01 22:13:42.902000+00:00,EURUSD,BID,1.17481,0.9
2026-01-01 22:13:43.008000+00:00,EURUSD,BID,1.17479,1.8
2026-01-01 22:13:43.215000+00:00,EURUSD,BID,1.1748,0.9
2026-01-01 22:13:43.525000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:43.680000+00:00,EURUSD,BID,1.17481,1.8
2026-01-01 22:13:43.733000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:43.838000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:13:43.890000+00:00,EURUSD,BID,1.17481,0.9
2026-01-01 22:13:43.994000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:13:44.048000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:44.153000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:44.619000+00:00,EURUSD,BID,1.17481,0.9
2026-01-01 22:13:44.724000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:44.983000+00:00,EURUSD,BID,1.17484,0.9
2026-01-01 22:13:45.087000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:13:45.191000+00:00,EURUSD,BID,1.17483,0.9
2026-01-01 22:13:45.244000+00:00,EURUSD,BID,1.17482,0.9
2026-01-01 22:13:45.401000+00:00,EURUSD,BID,1.17482,0.9
