z_quiet,z_volatile,danger_threshold,Baseline_Sharpe,AR_Sharpe,MS_AR_Sharpe,MS_AR_Trades,MS_AR_vs_AR,MS_AR_vs_Baseline
1.0,2.0,0.15,-51.43451980299121,-10.224665515701966,-40.38572881495989,246,-30.161063299257926,11.048790988031321
1.0,2.0,0.3,-51.43451980299121,-108.43331294399276,-40.38572881495989,246,68.04758412903287,11.048790988031321
1.0,2.0,0.5,-51.43451980299121,-106.7646539491451,-40.38572881495989,246,66.37892513418521,11.048790988031321
1.0,2.5,0.15,-51.43451980299121,-10.224665515701966,-39.66846949634822,215,-29.44380398064626,11.766050306642988
1.0,2.5,0.3,-51.43451980299121,-108.43331294399276,-39.66846949634822,215,68.76484344764454,11.766050306642988
1.0,2.5,0.5,-51.43451980299121,-106.7646539491451,-39.66846949634822,215,67.09618445279688,11.766050306642988
1.0,3.5,0.15,-51.43451980299121,-10.224665515701966,-36.87345631335935,139,-26.648790797657384,14.561063489631863
1.0,3.5,0.3,-51.43451980299121,-108.43331294399276,-36.87345631335935,139,71.55985663063342,14.561063489631863
1.0,3.5,0.5,-51.43451980299121,-106.7646539491451,-36.87345631335935,139,69.89119763578574,14.561063489631863
1.3,2.0,0.15,-43.869232391403386,-10.224665515701966,-38.26629724170901,230,-28.041631726007047,5.602935149694375
1.3,2.0,0.3,-43.869232391403386,-87.81631430926242,-38.26629724170901,230,49.55001706755341,5.602935149694375
1.3,2.0,0.5,-43.869232391403386,-88.55711747383133,-38.26629724170901,230,50.290820232122314,5.602935149694375
1.3,2.5,0.15,-43.869232391403386,-10.224665515701966,-37.436669934775864,183,-27.2120044190739,6.432562456627522
1.3,2.5,0.3,-43.869232391403386,-87.81631430926242,-37.436669934775864,183,50.37964437448656,6.432562456627522
1.3,2.5,0.5,-43.869232391403386,-88.55711747383133,-37.436669934775864,183,51.12044753905546,6.432562456627522
1.3,3.5,0.15,-43.869232391403386,-10.224665515701966,-31.83425673810419,115,-21.609591222402223,12.034975653299195
1.3,3.5,0.3,-43.869232391403386,-87.81631430926242,-31.83425673810419,115,55.982057571158236,12.034975653299195
1.3,3.5,0.5,-43.869232391403386,-88.55711747383133,-31.83425673810419,115,56.72286073572714,12.034975653299195
1.6,2.0,0.15,-38.587182105243386,0.0,-36.983047365159265,209,-36.983047365159265,1.6041347400841204
1.6,2.0,0.3,-38.587182105243386,-70.76534193849982,-36.983047365159265,209,33.78229457334055,1.6041347400841204
1.6,2.0,0.5,-38.587182105243386,-75.56624360144785,-36.983047365159265,209,38.583196236288586,1.6041347400841204
1.6,2.5,0.15,-38.587182105243386,0.0,-34.68947215425889,163,-34.68947215425889,3.897709950984499
1.6,2.5,0.3,-38.587182105243386,-70.76534193849982,-34.68947215425889,163,36.07586978424093,3.897709950984499
1.6,2.5,0.5,-38.587182105243386,-75.56624360144785,-34.68947215425889,163,40.876771447188965,3.897709950984499
1.6,3.5,0.15,-38.587182105243386,0.0,-29.50472775925171,83,-29.50472775925171,9.082454345991675
1.6,3.5,0.3,-38.587182105243386,-70.76534193849982,-29.50472775925171,83,41.26061417924811,9.082454345991675
1.6,3.5,0.5,-38.587182105243386,-75.56624360144785,-29.50472775925171,83,46.061515842196144,9.082454345991675
